column_name,column_status,column_type
cnt_act_pos_6v_lag1y,INPUT,INTERVAL
cnt_act_pos_6v_lag2y,INPUT,INTERVAL
cnt_act_pos_6v_lag3y,INPUT,INTERVAL
cnt_arc_prod,INPUT,INTERVAL
cnt_arc_prod_v12,INPUT,INTERVAL
cnt_arc_prod_v24,INPUT,INTERVAL
cnt_arc_prod_v3,INPUT,INTERVAL
cnt_arc_prod_v36,INPUT,INTERVAL
cnt_arc_prod_v48,INPUT,INTERVAL
cnt_arc_prod_v6,INPUT,INTERVAL
cnt_cc_entry_appr,INPUT,INTERVAL
cnt_entry_12m,INPUT,INTERVAL
cnt_entry_24m,INPUT,INTERVAL
cnt_entry_36m,INPUT,INTERVAL
cnt_entry_48m,INPUT,INTERVAL
cnt_entry_6m,INPUT,INTERVAL
cnt_entry_fail_6m,INPUT,INTERVAL
cs_cnt,INPUT,INTERVAL
cs_curr_cnt,INPUT,INTERVAL
